#multi:
,masa A,,masa B,,masa C,,masa D,,masa E,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
14.266,705.4,439.5,467.2,543.3,768.6,119.4,902.5,907.3,985.5,993.8
14.332,706.3,439.9,467.0,545.4,769.3,121.6,900.3,908.2,985.0,994.8
14.399,705.9,439.8,465.3,545.1,769.2,121.1,899.3,908.1,984.4,996.3
14.466,705.9,440.3,466.6,546.3,768.5,121.0,898.7,905.7,983.8,996.0
14.532,706.1,440.2,466.0,544.6,768.1,122.0,897.9,905.1,983.9,998.8
14.599,706.9,441.4,464.6,546.2,767.2,122.3,898.6,907.0,984.0,1.001E3
14.666,707.9,439.8,464.8,544.8,768.5,122.7,899.2,907.8,984.3,1.002E3
14.732,708.9,439.7,466.9,545.5,766.4,122.0,899.5,908.2,984.6,1.001E3
14.799,711.4,440.3,463.7,546.1,766.9,121.4,899.6,909.4,985.0,1.001E3
14.866,711.0,441.5,464.1,547.4,766.7,121.7,898.5,909.1,986.8,1.003E3
14.932,710.3,441.5,464.5,546.9,767.8,121.2,898.4,911.3,986.9,1.003E3
14.999,712.7,440.9,462.9,547.5,768.3,120.5,897.7,911.4,987.6,1.004E3
15.066,714.5,441.4,466.3,549.7,767.7,119.9,896.8,911.3,990.1,1.005E3
15.132,715.2,441.8,463.8,548.7,766.5,120.0,898.3,910.6,989.9,1.004E3
15.199,715.7,440.5,462.6,549.8,765.7,120.3,898.8,911.6,990.8,1.006E3
15.266,716.9,443.7,463.9,548.7,766.5,119.8,899.5,910.1,989.1,1.007E3
15.332,714.3,445.6,464.5,549.5,765.7,118.9,898.2,910.8,991.1,1.008E3
15.399,712.1,445.6,462.9,549.4,766.1,118.5,899.0,912.2,990.6,1.008E3
15.466,712.4,443.6,463.0,547.4,766.7,119.0,899.2,912.4,991.1,1.008E3
15.532,711.8,443.7,462.1,547.6,766.3,119.3,899.2,912.1,991.4,1.008E3
15.599,713.2,443.8,462.2,548.3,766.3,119.4,899.4,912.2,991.0,1.006E3
15.666,712.0,443.1,463.6,548.2,766.3,118.5,899.4,911.3,991.3,1.006E3
15.732,711.5,444.0,464.8,550.3,767.1,118.5,898.4,911.2,991.7,1.004E3
15.799,710.8,442.9,464.9,550.2,768.2,119.5,898.5,911.2,991.8,1.006E3
15.866,711.0,441.0,467.2,550.4,768.8,118.7,896.1,912.1,991.9,1.005E3
15.932,710.6,441.4,463.6,551.1,767.2,117.6,897.7,913.7,992.5,1.006E3
15.999,709.6,442.8,463.6,550.6,766.4,119.7,897.1,914.2,993.3,1.004E3
16.066,710.8,442.5,462.9,551.2,765.6,120.7,896.2,914.0,993.5,1.005E3
16.132,711.6,442.2,464.7,552.2,767.7,122.5,896.8,914.0,991.5,1.005E3
16.199,713.0,443.4,465.6,551.8,767.7,123.8,896.3,912.9,990.1,1.004E3
16.266,712.9,444.3,463.9,550.5,768.9,122.0,896.9,913.7,991.7,1.004E3
16.332,713.0,444.0,465.6,549.5,767.4,122.3,897.8,913.2,990.6,1.004E3
16.399,710.6,445.6,464.7,549.2,768.0,122.5,896.7,915.4,991.0,1.001E3
16.466,710.5,444.5,465.0,549.3,765.7,121.3,897.9,915.5,992.6,999.9
16.532,711.0,446.7,464.2,547.8,765.6,122.3,895.9,916.7,991.2,999.4
16.599,709.2,445.9,461.0,548.0,765.8,122.7,894.3,916.9,991.4,998.7
16.666,708.3,446.3,461.8,548.6,765.9,122.2,896.5,919.1,991.2,997.0
16.732,707.7,445.0,462.8,550.0,766.2,122.7,897.1,919.0,989.5,997.6
16.799,706.9,443.6,462.3,550.3,766.7,122.4,899.0,918.5,988.4,997.9
16.866,708.0,444.2,461.6,548.0,767.4,123.1,897.1,918.9,988.5,997.5
16.932,707.7,444.1,462.4,549.4,769.4,121.8,896.9,918.6,988.3,997.0
16.999,709.0,445.3,461.9,550.6,769.0,121.3,896.6,919.3,988.0,997.2
17.066,709.2,444.7,461.5,550.6,768.8,122.1,895.0,918.4,987.9,998.0
17.132,709.1,444.5,462.1,552.3,768.3,122.2,894.9,918.0,989.0,997.4
17.199,709.4,445.5,461.8,551.5,768.8,122.0,894.3,919.0,990.2,999.1
17.266,709.1,445.9,462.4,551.2,768.4,122.2,895.7,918.8,989.9,998.5
17.332,709.0,446.3,462.1,551.5,769.7,123.4,894.6,919.0,990.0,999.0
17.399,709.1,445.6,462.9,551.8,768.7,122.2,896.0,917.2,991.1,997.4
17.466,709.1,446.6,462.0,551.3,769.0,123.3,896.9,917.7,990.0,997.9
17.532,708.4,446.7,461.4,551.1,769.4,122.2,895.2,916.9,989.1,997.8
17.599,708.3,446.2,460.6,550.1,770.0,120.3,895.2,916.9,989.9,998.1
17.665,709.8,445.1,463.1,550.0,769.5,120.5,895.6,916.1,990.0,997.4
17.732,710.9,444.4,462.6,549.9,769.9,119.2,896.2,919.6,990.5,998.7
17.799,710.7,443.2,461.3,551.3,769.8,119.6,894.2,919.4,990.2,999.8
17.865,712.2,442.5,461.9,550.0,767.6,119.8,894.6,919.7,990.2,1.000E3
17.932,711.0,444.3,462.7,551.5,766.6,120.0,893.6,919.2,988.5,1.001E3
17.999,711.0,443.8,461.6,551.3,766.4,121.6,894.5,918.4,987.9,999.7
18.065,711.1,445.0,461.7,550.5,766.3,121.4,896.2,919.0,988.5,999.1
18.132,711.8,446.3,461.8,552.2,765.8,122.4,895.5,918.8,988.4,1.001E3
18.199,712.0,445.3,462.0,553.0,766.3,121.9,895.0,918.9,990.7,1.001E3
18.265,712.0,445.8,461.7,552.6,766.4,121.5,895.4,919.3,990.4,1.001E3
18.332,709.5,446.7,461.6,551.6,765.9,120.5,896.2,918.9,991.3,999.7
18.399,711.7,447.1,461.5,551.2,765.9,121.0,897.1,917.1,992.0,999.6
18.465,710.2,447.7,459.4,549.4,765.4,120.3,897.7,917.4,992.9,999.9
18.532,711.5,447.3,457.4,548.9,766.2,120.5,897.1,917.2,993.0,1.000E3
18.599,710.7,447.4,457.4,548.2,765.3,119.8,899.3,916.8,994.2,999.0
18.665,712.5,448.3,459.7,547.5,764.4,119.1,898.9,917.0,993.8,998.5
18.732,712.7,446.5,461.4,548.8,764.9,119.2,897.5,917.0,995.8,998.1
18.799,714.7,446.9,460.8,548.8,765.1,120.4,897.5,915.7,996.3,997.8
18.865,714.6,448.4,462.4,550.4,767.1,120.5,898.6,915.6,997.1,997.9
18.932,715.1,449.6,461.8,550.7,768.9,120.3,898.7,916.2,997.4,998.2
18.999,713.4,449.9,460.0,551.2,768.3,120.1,899.7,917.1,996.9,997.0
19.065,713.6,450.2,458.8,551.5,767.2,121.4,898.7,917.8,997.1,996.7
19.132,713.0,450.6,458.0,550.9,766.1,122.8,897.8,918.4,996.6,997.6
19.199,711.3,450.1,457.0,548.0,766.1,122.2,897.7,917.9,1000.0,997.2
19.265,710.7,450.0,454.5,549.6,766.9,123.2,896.5,919.7,1.001E3,994.3
19.332,712.0,450.4,452.2,548.7,766.8,124.4,897.6,918.5,1.001E3,995.5
19.399,710.9,452.4,449.7,547.4,766.9,124.7,896.7,917.8,1.001E3,996.3
19.465,708.0,452.2,448.4,546.1,768.1,126.1,895.3,916.3,999.4,996.6
19.532,709.3,451.1,446.8,547.2,768.0,127.2,896.6,916.0,996.4,995.6
19.599,708.7,451.0,446.9,547.1,768.3,127.9,895.7,916.5,994.5,996.2
19.665,706.4,451.2,447.2,548.5,766.7,128.1,895.7,916.3,993.0,996.6
19.732,705.7,449.9,447.2,547.8,765.1,130.5,894.9,916.1,991.7,997.2
19.799,705.4,449.8,447.5,548.1,763.5,131.6,893.8,917.1,991.9,998.6
19.865,704.8,448.8,448.5,548.4,764.0,130.9,892.3,918.1,992.7,999.5
19.932,705.6,449.2,447.1,548.7,763.3,131.0,893.6,919.4,993.3,998.2
19.999,706.8,449.6,447.4,548.9,761.9,131.8,894.5,919.2,994.3,997.0
20.065,704.9,448.7,448.1,550.1,761.4,131.4,894.0,918.9,995.2,995.9
20.132,704.3,449.3,447.3,551.4,762.8,131.1,893.6,919.4,993.6,996.3
20.199,704.6,447.5,447.2,550.8,764.7,131.7,894.4,918.8,992.7,996.8
20.265,705.9,447.4,448.7,552.6,763.9,130.3,894.2,919.4,992.8,997.1
20.332,706.8,447.6,450.7,552.3,763.7,131.1,893.9,920.4,994.6,997.3
20.399,707.0,447.8,451.1,551.8,764.4,132.8,894.9,922.1,995.6,996.0
