#multi:
,masa A,,masa B,,masa C,,masa D,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
19.399,560.1,587.6,621.6,816.4,295.6,872.7,1.071E3,462.9
19.465,560.0,587.8,623.6,815.4,296.3,870.9,1.072E3,463.6
19.532,560.1,589.3,621.7,816.5,295.9,869.6,1.073E3,463.5
19.599,558.6,589.7,622.4,816.9,296.1,871.2,1.073E3,463.4
19.665,559.2,589.7,622.2,816.8,297.1,874.0,1.071E3,461.4
19.732,560.0,590.6,624.5,816.4,297.0,874.2,1.071E3,460.8
19.799,559.6,588.5,623.6,816.8,296.7,874.1,1.071E3,460.2
19.865,561.4,589.1,625.1,816.3,297.0,873.5,1.073E3,461.9
19.932,562.1,590.3,626.0,815.6,298.1,873.8,1.074E3,462.5
19.999,563.0,590.7,627.3,815.7,298.8,871.6,1.075E3,461.7
20.065,562.3,590.7,627.9,815.7,297.9,870.4,1.076E3,463.3
20.132,562.5,591.6,628.2,815.0,298.0,870.7,1.077E3,462.2
20.199,565.1,590.3,626.1,812.6,297.2,869.1,1.077E3,464.2
20.265,565.0,590.5,625.9,810.9,295.9,869.0,1.077E3,463.4
20.332,562.6,591.7,627.4,809.7,295.9,867.3,1.076E3,463.6
20.399,562.2,591.6,628.5,807.9,296.6,868.2,1.077E3,464.5
20.465,562.6,591.3,628.2,806.5,296.1,869.4,1.077E3,464.3
20.532,561.9,592.4,629.0,805.8,295.0,869.8,1.077E3,464.2
20.599,562.6,591.9,630.0,804.8,297.2,869.8,1.078E3,464.3
20.665,563.9,592.6,632.0,803.4,297.8,869.1,1.078E3,462.2
20.732,564.1,592.4,631.7,804.8,298.8,869.5,1.077E3,463.3
20.799,564.0,592.5,630.5,803.8,298.9,868.9,1.078E3,462.7
20.865,565.0,593.7,631.4,805.1,298.9,867.8,1.079E3,462.7
20.932,564.7,594.0,630.9,807.1,299.4,867.0,1.079E3,462.5
20.999,564.8,594.5,631.6,807.9,298.6,866.0,1.080E3,463.5
21.065,564.8,593.7,629.9,808.2,300.1,867.5,1.080E3,462.8
21.132,566.8,591.8,629.9,807.3,298.6,868.4,1.081E3,461.5
21.199,566.5,591.8,628.9,806.4,299.1,869.7,1.081E3,459.9
21.265,566.9,591.7,629.9,805.3,299.0,870.4,1.079E3,458.8
21.332,567.8,590.3,628.2,805.4,299.0,870.5,1.079E3,458.8
21.399,568.8,589.1,629.2,805.0,299.0,871.0,1.081E3,461.3
21.465,569.9,589.7,628.9,804.7,300.0,871.6,1.081E3,461.0
21.532,571.9,589.1,629.4,804.2,299.0,872.9,1.080E3,460.9
21.599,571.9,587.5,628.7,804.5,299.3,872.3,1.079E3,459.7
21.665,571.1,587.1,630.4,804.2,299.3,874.2,1.079E3,459.7
21.732,570.8,585.3,629.3,804.2,298.9,874.2,1.078E3,460.4
21.799,571.7,584.7,629.9,805.5,299.4,873.9,1.079E3,459.6
21.865,570.7,582.9,629.5,806.6,299.9,872.8,1.081E3,459.2
21.932,570.7,581.7,629.7,805.9,299.9,872.2,1.081E3,459.5
21.999,571.8,579.4,631.0,807.1,299.7,870.8,1.081E3,457.7
22.065,572.1,579.0,631.1,806.4,299.9,871.0,1.080E3,457.5
22.132,571.0,577.9,630.5,805.2,300.3,870.8,1.080E3,456.2
22.199,568.0,575.7,629.9,805.8,300.0,870.8,1.081E3,454.3
22.265,568.4,574.6,630.4,805.8,300.5,871.6,1.083E3,454.7
22.332,567.4,575.4,631.9,805.3,300.7,872.4,1.084E3,453.6
22.399,567.0,573.4,632.3,803.7,300.9,873.1,1.082E3,453.5
